Job ID: 47028450
Task:   direction
Pairs:  data/pairs_direction.jsonl
GPU:    Tesla V100-PCIE-16GB
Start:  Wed Apr 22 00:16:29 EDT 2026
trainable params: 10,092,544 || all params: 7,625,709,056 || trainable%: 0.1323
{'loss': 7.4277, 'grad_norm': nan, 'learning_rate': 9e-05, 'epoch': 0.05}
{'loss': 0.3467, 'grad_norm': 0.16465477645397186, 'learning_rate': 3.481515227220056e-05, 'epoch': 2.21}
{'loss': 0.3457, 'grad_norm': 0.18406899273395538, 'learning_rate': 3.120570886258592e-05, 'epoch': 2.25}
{'loss': 0.3443, 'grad_norm': 0.1717994213104248, 'learning_rate': 2.7758933223648397e-05, 'epoch': 2.3}
{'loss': 0.3452, 'grad_norm': 0.1653752475976944, 'learning_rate': 2.448297544022692e-05, 'epoch': 2.34}
{'loss': 0.3444, 'grad_norm': 0.40112337470054626, 'learning_rate': 2.138558168923026e-05, 'epoch': 2.39}
{'loss': 0.3521, 'grad_norm': 0.7027105689048767, 'learning_rate': 1.8474075923388446e-05, 'epoch': 2.43}
{'loss': 0.3439, 'grad_norm': 0.21083112061023712, 'learning_rate': 1.5755342553375796e-05, 'epoch': 2.48}
{'loss': 0.3449, 'grad_norm': 0.2098037600517273, 'learning_rate': 1.3235810169254903e-05, 'epoch': 2.52}
{'loss': 0.3449, 'grad_norm': 0.09911538660526276, 'learning_rate': 1.0921436339732327e-05, 'epoch': 2.57}
{'loss': 0.345, 'grad_norm': 0.09510689228773117, 'learning_rate': 8.817693525169802e-06, 'epoch': 2.61}
{'loss': 0.3444, 'grad_norm': 0.3490775525569916, 'learning_rate': 6.929556137659765e-06, 'epoch': 2.66}
{'loss': 0.3424, 'grad_norm': 0.33418580889701843, 'learning_rate': 5.261488778762569e-06, 'epoch': 2.7}
{'loss': 0.3461, 'grad_norm': 0.3826267123222351, 'learning_rate': 3.817435682718096e-06, 'epoch': 2.75}
{'loss': 0.3434, 'grad_norm': 0.38277554512023926, 'learning_rate': 2.600811390093427e-06, 'epoch': 2.79}
{'loss': 0.3481, 'grad_norm': 0.20495003461837769, 'learning_rate': 1.6144926739195986e-06, 'epoch': 2.84}
{'loss': 0.3469, 'grad_norm': 0.13107050955295563, 'learning_rate': 8.608117374083069e-07, 'epoch': 2.88}
{'loss': 0.3452, 'grad_norm': 0.10742867738008499, 'learning_rate': 3.415506993330153e-07, 'epoch': 2.93}
{'loss': 0.3448, 'grad_norm': 0.09781110286712646, 'learning_rate': 5.7937380114103656e-08, 'epoch': 2.97}
{'eval_loss': 0.3487306535243988, 'eval_runtime': 132.1675, 'eval_samples_per_second': 1.491, 'eval_steps_per_second': 1.491, 'epoch': 3.0}
{'train_runtime': 11103.0971, 'train_samples_per_second': 0.48, 'train_steps_per_second': 0.06, 'train_loss': 0.501438292655143, 'epoch': 3.0}
End:    Wed Apr 22 03:22:26 EDT 2026
